flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
90,2.15e-05,0.000043000,0,0,2,0,443,57728,192.30.253.125,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,2573381713,2100419284,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,4.3e-05,4.3e-05,4.3e-05,0.0,eth:ethertype:ip:tcp,1,1
91,0.08138133333333333,0.244144000,0,0,3,0,47743,443,192.168.18.19,13.69.188.18,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,139640756,255007938,54,83.0,112,7730.0,101,101.0,101,0.0,0.0,3.85e-05,7.7e-05,5.444722215136416e-05,0.244067,0.244067,0.244067,0.0,eth:ethertype:ip:tcp:tls,2,1
92,0.0184245,0.036849000,0,0,2,0,43058,443,192.168.18.19,172.217.19.174,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,495587925,1968129203,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.036849,0.036849,0.036849,0.0,eth:ethertype:ip:tcp,1,1
93,0.018176,0.036352000,0,0,2,0,51310,443,192.168.18.19,172.217.19.5,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,2012187169,2158795153,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.036352,0.036352,0.036352,0.0,eth:ethertype:ip:tcp,1,1
94,6.599506428571428,46.196545000,0,0,7,0,443,54854,137.116.136.137,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,3895295601,891193557,54,63.0,66,35748.0,66,66.0,66,17424.0,0.0,7.61725,30.162015,26.29885103314811,3.3e-05,5.242515,15.727477,12.841458958063242,eth:ethertype:ip:tcp,4,3
95,0.21118486098981074,290.167999000,0,0,1374,0,48676,443,192.168.43.243,172.217.19.174,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,2069939916,2861486193,66,402.02446982055466,1434,60535444090.35882,66,502.1156373193167,2842,145625024266.3596,0.0,0.3264866101141924,21.082374,199.81805253164202,0.0,0.11830710512483573,2.099367,89.91384611496474,eth:ethertype:ip:tcp,613,761
96,0.0182605,0.036521000,0,0,2,0,51332,443,192.168.18.19,172.217.19.5,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,86165849,2658981386,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.036521,0.036521,0.036521,0.0,eth:ethertype:ip:tcp,1,1
97,0.0764205,0.152841000,0,0,2,0,39640,443,192.168.18.19,104.244.42.3,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,401800313,2094140213,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.152841,0.152841,0.152841,0.0,eth:ethertype:ip:tcp,1,1
98,0.018329,0.036658000,0,0,2,0,59782,443,192.168.18.19,216.58.207.10,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,3580075033,2819607870,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.036658,0.036658,0.036658,0.0,eth:ethertype:ip:tcp,1,1
99,12.714028230769232,165.282367000,0,0,13,0,53280,443,192.168.43.243,92.122.250.119,0c:8b:fd:18:40:2f,38:0b:40:bd:bd:4d,0,3212907361,54,62.57142857142857,66,140976.0,66,71.16666666666667,97,126750.83333333334,0.0,23.003622714285715,45.597326,139.60312426392363,0.003396,0.7095013333333333,1.299549,3.5793996327869007,eth:ethertype:ip:tcp,7,6
